Place_ID,Place_Name,Deskripsi,Jam,Harga,lokasi,fasilitas,Detail_lokasi
19,Tugu Pal Putih Jogja,"Tugu Yogyakarta (Jawa: , Tugu Ngayogyakarta) adalah sebuah landmark bersejarah yang penting di kota Yogyakarta, Indonesia. Tugu berarti tugu, yang biasanya dibangun sebagai simbol suatu kawasan yang mengkonseptualisasikan ciri-ciri kawasan tersebut. Karena latar belakang sejarahnya, Tugu Yogyakarta telah menjadi ikon sejarah kota. Tugu Yogyakarta terletak tepat di tengah persimpangan antara Jalan Mangkubumi, Jalan Sudirman, Jalan A.M Sangaji, dan Jalan Dipenogoro kota.",00.00 - 23.59,0,https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d3953.065108753963!2d110.36450077476592!3d-7.7829217922368!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x2e7a591a4d553bd5%3A0xc0f964003add568b!2sTugu%20Jogja!5e0!3m2!1sid!2sid!4v1715390223954!5m2!1sid!2sid,"Landmark, area pertemuan, taman kota, jalan-jalan sehat, pemandangan malam, fasilitas kebersihan.","Jl. Jend. Sudirman, Gowongan, Kec. Jetis, Kota Yogyakarta, Daerah Istimewa Yogyakarta 55233"
20,Tebing Breksi,"Tebing Breksi merupakan tempat wisata yang berada di wilayah Kabupaten Sleman. Lokasinya berada di sebelah selatan Candi Prambanan dan berdekatan dengan Candi Ijo serta Kompleks Keraton Boko. Lokasi Wisata Tebing Breksi tepatnya berada di Desa Sambirejo, Prambanan, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55572.",06.00 - 21.00,20000,https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d3953.071246048563!2d110.50194707476598!3d-7.782270942237448!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x2e7a5aa458b4665b%3A0xa4b0fc6ad0ae38c7!2sTebing%20Breksi!5e0!3m2!1sid!2sid!4v1715390274351!5m2!1sid!2sid,"Pemandangan alam, hiking, area foto, kegiatan outdoor, piknik, fasilitas parkir.","Jl. Desa Lengkong, RT.02/RW.17, Gn. Sari, Sambirejo, Kec. Prambanan, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55572"
21,Candi Donotirto,"Walaupun melekat dengan kata candi, Candi Donotirto bukanlah peninggalan jaman Hindu-Buddha di Yogyakarta. Tempat ini dibangun oleh pemerintah Belanda. Ada dua bagian, yaitu bagian barat untuk kaum adam dan bagian timur untuk kaum hawa. Masing-masing dialiri oleh 5 buah pancuran air yang bersumber dari Sungai Winogo, berarti ada 10 buah pancuran di sana. Hingga kini, tempat ini tetap dirawat oleh warga sekitar walaupun digunakan sebagai WC umum. Oleh karenanya, janganlah berat tangan untuk menyisihkan uang Anda sebagai ganti biaya perawatan dan kebersihan tempat ini.",00.00 - 23.59,0,https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d3952.945821419326!2d110.35863457476609!3d-7.79556129222449!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x2e7a58274e35ee89%3A0x353853e5497dcb7c!2sCandi%20Donotirto!5e0!3m2!1sid!2sid!4v1715390311493!5m2!1sid!2sid,"Situs bersejarah, kuil keagamaan, area meditasi, taman hijau, tempat bermain anak, fasilitas parkir.","Jl. Jogonegaran, Pringgokusuman, Gedong Tengen, Kota Yogyakarta, Daerah Istimewa Yogyakarta 55272"
22,Kawasan Malioboro,"Jalan Malioboro adalah nama salah satu kawasan jalan dari tiga jalan di Kota Yogyakarta yang membentang dari Tugu Yogyakarta hingga ke perempatan Kantor Pos Yogyakarta. Secara keseluruhan terdiri dari Jalan Margo Utomo, Jalan Malioboro, dan Jalan Margo Mulyo. Jalan ini merupakan poros Garis Imajiner Kraton Yogyakarta.",00.00 - 23.59,0,https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d3952.9204338461504!2d110.36270437476614!3d-7.79824869222188!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x2e7a578819c338f1%3A0x72aa3ad97ecccfb6!2sKawasan%20Wisata%20Malioboro!5e0!3m2!1sid!2sid!4v1715390412646!5m2!1sid!2sid,"Pusat perbelanjaan, jalan-jalan sehat, kuliner khas, pertunjukan jalanan, kafe, area pertemuan.","Jl. Margo Mulyo Jl. Jend. Ahmad Yani No.106, Ngupasan, Kec. Gondomanan, Kota Yogyakarta, Daerah Istimewa Yogyakarta 55122"
23,Bangsal Pagelaran,"Bangunan utama adalah Bangsal Pagelaran yang dahulu dikenal dengan nama Tratag Rambat. Pada zamannya Pagelaran merupakan tempat para penggawa kesultanan menghadap Sultan pada upacara resmi. Sekarang sering digunakan untuk even-even pariwisata, religi, dan lain-lain disamping untuk upacara adat keraton. Sepasang Bangsal Pemandengan terletak di sisi jauh sebelah timur dan barat Pagelaran. Dahulu tempat ini digunakan oleh Sultan untuk menyaksikan latihan perang di Alun-alun Lor.",00.00 - 23.59,5000,https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d3952.853928118928!2d110.36163877476615!3d-7.805284292215053!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x2e7a57903fffffff%3A0x22c6107dbeda6ebc!2zQmFuZ3NhbCBQYWdlbGFyYW4gKOqmp-qmgeqmseqmreqngOqmpeqmkuqmvOqmreqmguqmq-qmpOqngCk!5e0!3m2!1sid!2sid!4v1715390474695!5m2!1sid!2sid,"Tempat pertunjukan seni, teater tradisional, area pameran seni, ruang pertemuan, tempat duduk bersantai, kafe.","Jl. Alun-Alun Utara, Panembahan, Kecamatan Kraton, Kota Yogyakarta, Daerah Istimewa Yogyakarta 55131"
24,Embung Tambakboyo,"Embung atau waduk Tambakboyo adalah konservasi air yang terletak di Dusun Tambakboyo, Kecamatan Depok, Kabupaten Sleman, Yogyakarta. Waduk ini memanfaatkan sumber air dari sungai Tambak Bayan dan sungai Buntung dengan luasan 7,8 ha. Waduk ini dibangun sejak tahun 2003 hingga 2008 dan diresmikan setahun kemudian.",00.00 - 23.59,0,https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d3953.316413055323!2d110.41243817476567!3d-7.756226992262764!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x2e7a598356dbaf65%3A0xd1c1d58cb1d42109!2sEmbung%20Tambakboyo!5e0!3m2!1sid!2sid!4v1715390507477!5m2!1sid!2sid," Waduk buatan, spot memancing, trekking, area piknik, pemandangan alam, gazebo.","Jetis, Wedomartani, Kec. Ngemplak, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55281"
25,Hutan Pinus Pengger,"Hutan Pinus Pengger (bahasa Jawa: ê¦„ê¦­ê¦±ê§€â€‹ê¦¥ê¦¶ê¦¤ê¦¸ê¦±ê§€â€‹ê¦¥ê¦¼ê¦â€‹ê¦’ê¦¼ê¦‚â€‹, translit. Alas Pinusâ€‹ PÄ›nggÄ›r) merupakan salah satu objek wisata andalan Kabupaten Bantul. Wisata alam ini berlokasi di Sendangsari, Desa Terong, Kec. Dlingo, Kabupaten Bantul, Daerah Istimewa Yogyakarta.\nHutan Pinus Pengger mudah dijangkau karena terletak dipinggir jalan Patuk-Dlingo km 4,5.\nWalaupun masih terdengar asing, dikalangan penyuka jalan-jalan objek wisata, Hutan Pinus Pengger terbilang cukup populer . Tempat ini masih dirasa asing karena baru dibuka secara resmi pada tanggal 7 April 2016. Hutan Pinus ini sangat digemari oleh para pencipta objek wisata, karena objek wisata ini menyuguhkan pemandangan alam yang sangat indah.",08.00 - 21.00,3000,https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d3952.2324614070667!2d110.45712622476688!3d-7.8707267921513475!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x2e7a53d8d54f0903%3A0xf33314fb0104fc60!2sHutan%20Pinus%20Pengger!5e0!3m2!1sid!2sid!4v1715390541481!5m2!1sid!2sid,"Hutan pinus, jalur hiking, camping ground, spot foto, area berkemah, fasilitas api unggun.","Jl. Dlingo-Patuk, Sendangsari, Terong, Kec. Dlingo, Kabupaten Bantul, Daerah Istimewa Yogyakarta 55783"
26,Monumen Serangan Umum 1 Maret,"Monumen Serangan Umum 1 Maret berada di area sekitar Museum Benteng Vredeburg yaitu tepat di depan Kantor Pos Besar Yogyakarta. Monumen ini dibangun untuk memperingati serangan tentara Indonesia terhadap Belanda pada tanggal 1 Maret 1949. Ketika itu Negara Indonesia telah dianggap lumpuh dan tidak ada oleh Belanda. Untuk membuktikan bahwa Negara Indonesia masih ada maka dilakukan serangan besar-besaran. Serangan ini dilakukan oleh Tentara Nasional Indonesia (TNI) yang dipimpin oleh Letnan Kolonel Soeharto, Komandan Brigade 10 daerah Wehrkreise III.",07.30 - 16.00,3000,https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d3952.890936351405!2d110.3626840747662!3d-7.8013699922188335!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x2e7a5788b5ba6d3b%3A0x6722b1744aec3f53!2sMonumen%20Serangan%20Umum%201%20Maret%201949!5e0!3m2!1sid!2sid!4v1715390577342!5m2!1sid!2sid,"Monumen sejarah, area edukasi, taman kota, patung pahlawan, fasilitas parkir, ruang refleksi.","Jl. Margo Mulyo No.6, Ngupasan, Kec. Gondomanan, Kota Yogyakarta, Daerah Istimewa Yogyakarta 55122"
27,Puncak Pinus Becici,"Puncak Pinus Becici atau Puncak Becici merupakan objek wisata yang berada di Desa Muntuk, Kecamatan Dlingo, Kabupaten Bantul, Yogyakarta. Pemandangan di kawasan ini sangat indah dengan hamparan perbukitan yang banyak di tumbuhi pohon pinus serta dapat melihat pesona Kota Yogyakarta dari ketinggian dengan gardu pandang. Dari bagian utara dapat melihat Candi Prambanan, bagian selatan terlihat garis lurus yang merupakan Pantai Selatan serta dapat melihat Gunung Merapi dan Gunung Sindoro.",07.30 - 21.00,3000,https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d3951.9333186818726!2d110.43488777476719!3d-7.902035492120955!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x2e7a531aaaaaaaab%3A0x6c28149b91ea59f4!2sPuncak%20Pinus%20Becici!5e0!3m2!1sid!2sid!4v1715390607292!5m2!1sid!2sid,"Puncak bukit, panorama alam, tempat berkemah, trekking, area bermain anak, tempat duduk bersantai.","Gunungcilik, RT.07/RW.02, Gn. Cilik, Muntuk, Kec. Dlingo, Kabupaten Bantul, Daerah Istimewa Yogyakarta 55783"
28,Bukit Bintang Yogyakarta,"Bukit Bintang merupakan salah satu lokasi nongkrong favorit di Yogyakarta. Saat malam tiba, pemandangan Yogyakarta sangatlah indah!Terletak di perbatasan Bantul dan Gunungkidul, siapa pun yang berkunjung ke kawasan ini dapat menikmati taburan gemintang di langit malam serta kerlip benderang lampu kota dari ketinggian.Kota ini memiliki Bukit Bintang yang selalu ramai dipadati kawula muda untuk menikmati keindahan malam. Bukit Bintang menjadi tempat yang sempurna untuk menikmati senja hingga malam tiba.",00.00 - 23.59,25000,https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d3952.469396813599!2d110.47727077476657!3d-7.84584069217561!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x2e7a51a418acd7d3%3A0xfb055b6604992f0a!2sBukit%20Bintang!5e0!3m2!1sid!2sid!4v1715390638335!5m2!1sid!2sid,"Puncak bukit, tempat hiking, pemandangan malam, area bermain anak, spot foto, kafe.","Area Kebun, Srimulyo, Kec. Patuk, Kabupaten Gunung Kidul, Daerah Istimewa Yogyakarta 55792"
29,Gedung Agung Yogyakarta,"Istana Yogyakarta yang dikenal dengan nama Gedung Agung (bahasa Jawa: ê¦’ê¦¼ê¦ê¦ºê¦´ê¦â€‹ê¦„ê¦’ê¦¼ê¦, translit. Gedhong Ageng) terletak di pusat keramaian kota, tepatnya di ujung selatan Jalan Ahmad Yani dahulu dikenal dengan Jalan Margomulyo. Kawasan istana terletak di Kelurahan Ngupasan, Kecamatan Gondomanan, Kota Yogyakarta, dan berada pada ketinggian 120 m dari permukaan laut. Kompleks istana ini menempati lahan seluas 43.585 mÂ².",08.00 - 15.00,0,"https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d3952.9021033641775!2d110.36130207476617!3d-7.80018849221999!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x2e7a5788bb4f4201%3A0xad1d99f62f5227c!2sGedung%20Agung%20Yogyakarta!5e0!3m2!1sid!2sid!4v1715390667652!5m2!1sid!2sid""","Bangunan bersejarah, museum, ruang pameran, kafe, taman kota, fasilitas parkir.","Jalan Ahmad Yani, Ngupasan, Kec. Gondomanan, Kota Yogyakarta, Daerah Istimewa Yogyakarta 55122"
30,The Lost World Castle,"The Lost World Castle merupakan salah satu objek wisata di kawasan lereng Gunung Merapi yang terletak di Dusun Petung, Desa Kepuharjo Cangkringan, Sleman, Daerah Istimewa Yogyakarta, Indonesia. Objek wisata ini dibangun menyerupai Benteng Takeshi dan dibangun di atas lahan 1,3 hektare pada tahun 2016.Pengunjung yang ingin memasuki kawasan The Lost World Castle akan dikenakan biaya sebesar Rp 25.000 tiap orang dan belum termasuk biaya parkir. Biaya parkir mobil sebesar Rp5.000,00, sementara biaya parkir untuk sepeda motor sebesar Rp2.000,00.",07.00 - 18.00,30000,https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d3954.73155482038!2d110.44842927476404!3d-7.6041647924108675!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x2e7a5d9bed435109%3A0x284f5fe8b2b683c9!2sThe%20Lost%20World%20Castle!5e0!3m2!1sid!2sid!4v1715390697951!5m2!1sid!2sid,"Istana mini, wahana petualangan, taman bermain, area foto unik, restoran, toko suvenir.","Jl. Petung Merapi, Petung, Kepuharjo, Kec. Cangkringan, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55583"
31,Monumen Sanapati,"Monumen Sanapati dibangun untuk memeringati 50 tahun persandian Indonesia di Yogyakarta. Persandian di Yogyakarta memiliki andil yang besar dalam mempertahankan kemerdekaan Negara Indonesia. Tercatat pada peristiwa Serangan Umum 1 Maret 1949, sandi buatan Roebiono masih digunakan untuk menyebarkan pesan pada dunia bahwa Indonesia masih ada dan masih bisa melawan. Selanjutnya, peristiwa tersebut dikenal dengan Peristiwa 6 jam di Yogyakarta. Monumen Sanapati terletak di kawasan Kotabaru, tepatnya di tengah persimpangan Jalan Abu Bakar Ali, di taman depan Gereja Santo Antonius. Bangunan Monumen Sanapati berbentuk segitiga berujung lancip menyerupai piramida dengan tinggi 3 meter dan lebar 2,5 meter. Monumen tersebut didesain oleh Drs Kasman dan diresmikan oleh Menteri Sekretaris Negara Republik Indonesia saat itu, Moerdiono, pada 4 April 1996, tepat pada Hari Persandian Indonesia. Pembangunan monument membutuhkan waktu satu bulan dan memakan biaya sebesar 25 juta rupiah.",00.00 - 23.59,15000,https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d3953.015574947212!2d110.36896537476602!3d-7.788172792231736!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x2e7a582e8911b189%3A0xb6db6161fea85fbf!2sMonumen%20Sanapati!5e0!3m2!1sid!2sid!4v1715390723923!5m2!1sid!2sid,"Monumen sejarah, taman kota, area edukasi, patung pahlawan, fasilitas parkir, spot refleksi.","Jl. Abu Bakar Ali, Kotabaru, Kec. Gondokusuman, Kota Yogyakarta, Daerah Istimewa Yogyakarta 55224"
32,Jurang Tembelan Kanigoro,"Jurang Tembelan Kanigoro berada di Desa Wisata Mangunan, Dlingo, Bantul. Familiar dengan Desa Mangunan, bukan? Kawasan ini memang memiliki tempat wisata bagus yang murah. Termasuk Jurang Tembelan Kanigoro yang berada tidak jauh dari Kebun Buah Mangunan atau Bukit Panguk Kediwung. Dari Jogja, arahkan kendaraan menuju Jalan Imogiri Timur, setelah sampai di pertigaan dekat Pasar Imogiri ikuti arah menuju Mangunan. Untuk menuju ke sana, cek terlebih dahulu kondisi kendaraan. Jalanan yang naik turun serta tikungan tajam, harus diwaspadai. Bagi yang menggunakan kendaraan besar seperti bus, diharapkan memutar melewati Bukit Bintang Gunung Kidul. Selain itu, selalu berhati-hati dan tetap fokus selama berkendara.",05.00 - 18.00,2500,https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d3951.5687752130643!2d110.4272507747677!3d-7.9400232920841045!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x2e7a535efa9f6961%3A0xd94caa6b36062e9f!2sJurang%20Tembelan%20Kanigoro!5e0!3m2!1sid!2sid!4v1715392377065!5m2!1sid!2sid,"Pemandangan alam, trekking, spot foto, area piknik, air terjun, tempat berkemah.","Mangunan, Kec. Dlingo, Kabupaten Bantul, Daerah Istimewa Yogyakarta 55783"
33,The World Landmarks - Merapi Park Yogyakarta,"Merapi Park merupakan salah satu tempat wisata di Yogyakarta yang terletak di Jalan Kaliurang km 22, Hargobinangun, Kecamatan Pakem, Kabupaten Sleman. Pengoperasian Merapi Park dimulai sejak tanggal 25 Juni 2017. Fasilitas yang tersedia meliputi tempat pengambilan foto",09.00 - 16.00,22000,https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d3954.5771330988605!2d110.41675657741575!3d-7.620904572784338!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x2e7a60adba455a61%3A0xf555018e07c5177a!2sThe%20World%20Landmarks%20-%20Merapi%20Park%20Yogyakarta!5e0!3m2!1sid!2sid!4v1715392417726!5m2!1sid!2sid,"Taman hiburan, replika landmark dunia, wahana permainan, area fotografi, toko suvenir, restoran.","Jl. Kaliurang No.KM. 22.5, Banteng, Hargobinangun, Kec. Pakem, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55582"
34,Museum Sonobudoyo Unit I,"Museum Sonobudoyo adalah museum dan perpustakaan sejarah dan budaya Jawa di Yogyakarta, Indonesia. Museum ini berisi koleksi artefak Jawa terlengkap, setelah Museum Nasional di Jakarta. Selain keramik era Neolitikum dan patung perunggu abad ke-8, museum ini juga menyimpan koleksi wayang, berbagai senjata kuno (seperti keris), dan topeng Jawa. Museum Sonobudoyo terdiri dari dua unit, Unit I terletak di Jalan Trikora No. 6 Yogyakarta, dan Unit II terletak di Ndalem Condrokiranan, Wijilan, di sebelah timur alun-alun utama (utara) kota.",08.00 - 21.00,5000,https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d3952.8818303505586!2d110.35918049678958!3d-7.802333299999993!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x2e7a578f83070a4f%3A0x9d10431ac43ec5ee!2sMuseum%20Sonobudoyo%20Unit%20I!5e0!3m2!1sid!2sid!4v1715392450370!5m2!1sid!2sid,"Museum sejarah, galeri seni, pameran budaya, area edukasi, kafe, toko buku.","Jl. Pangurakan No.6, Ngupasan, Kec. Gondomanan, Kota Yogyakarta, Daerah Istimewa Yogyakarta 55122"
35,Lava Bantal,"Wilayah DIY menawarkan sejumlah potensi wisata, terlebih pariwisata berbasis sungai. Salah satunya yang kini menjadi salah satu favorut wisatawan adalah Lava Bantal yang berada di Kecamatan Berbah, Kabupaten Sleman. Sesuai namanya, objek wisata ini menawarkan batuan yang diduga berasal dari lava pijar dari gunung api bawah laut yang mengering selama kurun waktu ratusan tahun lalu. Terhampar di Sungai Opak, batuan tersebut menjadi pemandangan unik yang mampu menyita perhatian para pelancong. Konon keberadaan Lava Bantal berkontribusi besar terhadap terbentuknya Pulau Jawa. Fenomena alam seperti yang terjadi di Lava Bantal ini sangat jarang terjadi. Di Pulau Jawa fenomena sejenis hanya bisa ditemukan di Karangsambung (Kebumen), Ciletuh (Jawa Barat), dan di Berbah (DIY). Dengan latar belakang sejarah geologi yang panjang, sejak 2 Oktober 2014 silam pemerintah telah menetapkan objek wisata ini sebagai geo heritage. Artinya, semua keunikan geologis yang ada di objek wisata tersebut tergolong sebagai objek yang dilindungi oleh pemerintah.",09.00 - 17.00,5000,https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d3952.826805278211!2d110.45694337476615!3d-7.808151792212263!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x2e7a51b96c72a851%3A0xf454bd5877f00a2e!2sLava%20Bantal!5e0!3m2!1sid!2sid!4v1715392478755!5m2!1sid!2sid,"Pemandangan alam vulkanik, area trekking, spot foto, penelitian geologi, tempat duduk bersantai, fasilitas parkir.","Jl. Berbah - Prambanan, Jragung, Kalitirto, Kec. Berbah, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55573"
36,Bukit Panguk Kediwung,"Bukit Panguk Kediwung adalah salah satu obyek wisata yang menawarkan pemandangan alam dari ketinggian. Jika dibandingkan dengan obyek wisata perbukitan lain di Bantul memang Bukit Panguk Kediwung termasuk baru karena dibuka pada tahun 2016. Namun jangan salah, lokasi ini sudah mencuri hati banyak pengunjung dari dalam maupun luar kota. Bukit Panguk Kediwung berlokasi di Kediwung, Mangunan, Dlingo, Bantul, Yogyakarta. Jangan khawatir untuk tersesat karena di sepanjang jalan menuju ke lokasi kita akan melihat beberapa papan petunjuk. Kurang lebih berjarak 20 km dari pusat Kota Yogyakarta. Dari pusat Kota Yogyakarta anda bisa bergerak menuju ke selatan tepatnya ke arah Jalan Imogiri Timur, ikuti jalan hingga menemukan Pasar Imogiri, lalu belok kiri dan lanjutkan perjalanan menuju ke arah Dlingo, dari sana anda akan mulai melihat petunjuk jalan menuju Bukit Panguk Kediwung. Akses jalan menuju Bukit Panguk Kediwung sudah diaspal halus hanya saja konturnya sedikit naik turun namun masih dalam kategori aman. Sangat disarankan untuk menggunakan kendaraan pribadi karena akses ke sini menggunakan kendaraan umum cukup sulit.",00.00 - 23.59,250000,https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d3951.3920969822525!2d110.43818727476797!3d-7.958369492066274!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x2e7bacb24995d023%3A0x95aec26c5e9774a2!2sBukit%20Panguk%20Kediwung!5e0!3m2!1sid!2sid!4v1715392511076!5m2!1sid!2sid,"Bukit hijau, spot sunrise/sunset, trekking, area berkemah, gazebo, tempat bersantai.","Kediwung, Mangunan, Kec. Dlingo, Kabupaten Bantul, Daerah Istimewa Yogyakarta 55783"
37,Candi Prambanan,"Candi Prambanan atau Candi Roro Jonggrang (bahasa Jawa: ê¦•ê¦¤ê§€ê¦ê¦¶â€‹ê¦¥ê¦¿ê¦©ê§€ê¦§ê¦¤ê¦¤ê§€, translit. Candhi Prambanan) adalah kompleks candi Hindu terbesar di Indonesia yang dibangun pada abad ke-9 masehi. Candi ini dipersembahkan untuk Trimurti, tiga dewa utama Hindu yaitu Brahma sebagai dewa pencipta, Wisnu sebagai dewa pemelihara, dan Siwa sebagai dewa pemusnah. Berdasarkan prasasti Siwagrha nama asli kompleks candi ini adalah Siwagrha (bahasa Sanskerta yang bermakna 'Rumah Siwa'), dan memang di garbagriha (ruang utama) candi ini bersemayam arca Siwa Mahadewa setinggi tiga meter yang menujukkan bahwa di candi ini dewa Siwa lebih diutamakan.\nKompleks percandian Candi Prambanan secara keseluruhan berada di wilayah provinsi Daerah Istimewa Yogyakarta, namun pintu administrasinya berada di Daerah Istimewa Surakarta (sekarang bagian Provinsi Jawa Tengah), hal ini yang membuat Candi Prambanan terletak di 2 tempat yakni di Desa Bokoharjo, Kecamatan Prambanan, Kabupaten Sleman, dan di Desa Tlogo, Kecamatan Prambanan, Kabupaten Klaten, atau kurang lebih 17 kilometer timur laut Yogyakarta, 50 kilometer barat daya Surakarta dan 120 kilometer selatan Semarang, persis di perbatasan antara Daerah Istimewa Yogyakarta dan Daerah Istimewa Surakarta.Candi ini adalah termasuk Situs Warisan Dunia UNESCO, candi Hindu terbesar di Indonesia, sekaligus salah satu candi terindah di Asia Tenggara. Arsitektur bangunan ini berbentuk tinggi dan ramping sesuai dengan arsitektur Hindu pada umumnya dengan candi Siwa sebagai candi utama memiliki ketinggian mencapai 47 meter menjulang di tengah kompleks gugusan candi-candi yang lebih kecil. Sebagai salah satu candi termegah di Asia Tenggara, candi Prambanan menjadi daya tarik kunjungan wisatawan dari seluruh dunia.Menurut prasasti Siwagrha, candi ini mulai dibangun pada sekitar tahun 850 masehi oleh Rakai Pikatan, dan terus dikembangkan dan diperluas oleh Balitung Maha Sambu, pada masa kerajaan Medang Mataram.",06.30 - 17.00,50000,https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d3953.3559337544734!2d110.48889247476556!3d-7.752020592266846!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x2e7a5ae3dbd859d1%3A0x19e7a03b25955a2d!2sCandi%20Prambanan!5e0!3m2!1sid!2sid!4v1715392540861!5m2!1sid!2sid,"Situs bersejarah, kuil Hindu, pementasan tari, area keagamaan, fasilitas parkir, kafe.","Jl. Raya Solo - Yogyakarta No.16, Kranggan, Bokoharjo, Kec. Prambanan, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55571"
38,Watu Goyang,"Watu Goyang ini berasal dari Bahasa Jawa yang berarti Batu yang bergoyang. Dulunya di tempat ini terdapat batu yang berada di puncak yang bias bergoyang ketika disentuh maupun didorong. Batu tersebut sudah ada sejak ratuhan tahun yang lalu. Para pengelola menjelaskan bahwa Watu Goyang ini tidak pernah roboh walaupun disetuh bahkan di panjat, tetapi pihak pengelola melarang kesar untuk pengunjung yang mencoba menaiki Watu Goyang tersebut karena akan sangat berbahaya bagi keselamatan. Keunikan dari batu raksasa itu adalah stukturnya yang memuat tonjolan-tonjolan yang unik. Pemandangan alam yang masih hijau dan gunung merapi terlihat sangat alami, sangat cocok bagi para pengunjung untuk menghilangkan rasa bosan dengan aktivitas sehari-hari di perkotaan. Berada di puncak ini pengunjung akan merasakan sejuknya suhu udara, terutama pada pagi hari. Dan ketika di siang hari, meskipun cuaca sedang panas, maka hembusan angin yang menyapa terasa segar dan nyaman.",07.00 - 22.00,2500,https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d3951.690022685588!2d110.40948367476756!3d-7.927408592096369!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x2e7a548fd0091f07%3A0xf2e5878e2fc74574!2sWatu%20Goyang!5e0!3m2!1sid!2sid!4v1715392570861!5m2!1sid!2sid,"Batu raksasa, legenda lokal, area fotografi, spot piknik, kegiatan olahraga, taman alam.","Cempluk, Jl. Watu Goyang No.1, Griloyo, Mangunan, Kec. Imogiri, Kabupaten Bantul, Daerah Istimewa Yogyakarta 55783"
